LeftStim,RightStim,Reward,Choice,PrevChoice,Difficulty,Movement
0.245087498,0.129280958,0.088630531,0.310582768,0,0.226418245,0
0,0.123400965,0,0,0.654774828,0.221824208,0
0.177640525,0.22438376,0.174252522,0,0,0.423723193,0
0.1743398,0.040463451,0.180760706,0.221998062,0,0.382437981,0
0.067182109,0.021581402,0.448098575,0,0,0.463137914,0
0,0,0,0.550128598,0.449871402,0,0
0.205314109,0.042564968,0,0.348617464,0.358554132,0,0.044949327
0,0.115039826,0,0,0.275938119,0.59611584,0.012906215
0,0.455010755,0.111390467,0,0,0.311161162,0.122437615
0.420368545,0.027687932,0.129665268,0,0,0.392368611,0.029909643
0.020945451,0.021911535,0.212792961,0.596843186,0,0.145361803,0.002145065
0.023073149,0.188220227,0.067276455,0.519033212,0.197753071,0,0.004643887
0,0,0.054900239,0,0.833509362,0,0.111590399
0.075180254,0.040548228,0.298533884,0.142753533,0,0.442984102,0
0.715349971,0,0,0,0,0,0.284650029
0.224030163,0.125231548,0.252317139,0.398421151,0,0,0
0.048606984,0.183740631,4.79E-05,0.407549808,0.128432102,0.231622543,0
0,0.150810292,0.369551706,0,0,0.435192103,0.044445899
0.047228741,0.371005899,0.035959996,0.364605292,0,0.101485908,0.079714163
0.063215533,0.086614544,0.356692201,0.198076123,0,0.289438245,0.005963354
0,0,0.692745306,0,0,0,0.307254694
0.032795335,0.334366593,0.25359842,0.379239651,0,0,0
0.173471776,0.223237599,0.54315577,0.007256375,0,0.050702945,0.002175535
0.05003383,0.132328799,0.04675463,0.376677257,0.012482313,0.360479651,0.021243519
0.022991157,0.049964757,0.707795918,0,0.050978788,0.1659889,0.002280481
0.034298599,0.022469582,0.781505378,0.013157937,0,0.147892319,0.000676185
0.290203168,0.193666585,0.091542151,0,0,0.420499713,0.004088383
0.262997991,0.308809108,0.288234118,0.081885557,0,0.058073226,0
0.156033593,0.355867156,0.45714346,0.030955791,0,0,0
0.01287105,0.590593599,0.248542444,0,0.136741775,0.011251131,0
0.28801789,0.144784061,0.415638377,0.040948274,0,0.087966675,0.022644723
0,0,0.351481988,0.393165263,0,0.156970326,0.098382423
0.409318229,0.262482583,0.288479772,0,0.023268737,0.014993619,0.00145706
0,0,0,0.403944296,0.370968861,0.195824496,0.029262347
0,0.541250163,0,0,0,0,0.458749837
0.204215744,0.281566158,0.370454348,0,0.010676957,0,0.133086792
0.051562291,0.014795359,0.024537778,0.460518767,0.447164505,0,0.001421301
0.040146594,0.099153616,0.017785256,0.625854638,0.211572737,0,0.005487159
0.176600745,0.076254066,0.334289693,0,0,0.411826602,0.001028893
0.445699257,0,0,0,0.554300743,0,0
0.230136645,0.308933172,0.101878524,0.35905166,0,0,0
0.363039055,0.203403778,0.433557167,0,0,0,0
0,0.024209015,0.529292724,0,0,0.446498261,0
0.293813783,0.172299351,0.458096035,0.047350823,0,0,0.028440008
0.187052064,0.016331118,0.068589194,0.469673324,0.256955903,0,0.001398398
0.008352357,0.716505966,0.024975214,0.149303542,0,0.100862921,0
0.24478199,0.304281925,0.172612927,0,0,0.262442691,0.015880467
0.3086502,0.201780741,0.132711412,0.008670614,0,0.339290665,0.008896368
0.145850841,0.124816214,0.260403764,0.290851776,0,0.174616163,0.003461242
0.103118402,0.073221627,0.683319976,0,0,0.13508585,0.005254145
0.017732656,0.372596649,0.242719739,0.354868011,0,0.012082945,0
0.054711512,0.194356862,0.203497342,0.50575148,0,0,0.041682803
0.213312568,0.140451902,0.335693341,0.059078115,0.049905324,0.196011903,0.005546846
0.07657026,0.294876062,0.036424674,0,0,0.574329612,0.017799391
0.010281281,0.05313868,0.052912157,0.290714732,0.541741755,0,0.051211395
0,0,0.285980185,0.650072261,0,0.060148476,0.003799079
0.324849472,0.104531423,0.46231695,0,0,0.092215905,0.016086249
0.105538242,0.015361646,0.177701506,0,0.435768532,0.265630074,0
0.180165574,0.250550457,0.549538126,0,0,0,0.019745843
0.450941903,0.185052684,0.246670834,0,0.093703322,0,0.023631257
0.020929225,0.018510956,0.044196749,0.300220583,0.442126565,0.172488911,0.001527011
0.119746566,0,0.209909902,0,0,0.597386778,0.072956754
0,0,0,0,0,0.816156501,0.183843499
0,0,0,0.210705283,0.361385673,0.403442013,0.02446703
0,0,0.245331731,0,0,0.754668269,0
0.375034524,0,0.567150949,0,0,0,0.057814526
0.194934119,0.132102088,0.234314398,0.220941695,0,0.2177077,0
0,0,0,0.286743396,0,0.713256604,0
0.460171489,0.452123279,0,0,0,0.083340516,0.004364716
0.182114826,0.37274695,0,0.071057551,0.052281975,0.302258456,0.019540242
0.78536805,0.051003251,0.104042404,0.059586294,0,0,0
0.082952427,0,0.917047573,0,0,0,0
0,0.381508903,0.219921803,0,0.317310502,0,0.081258793
0.032260539,0.583172425,0.170116535,0.130943142,0.083507359,0,0
0.194972018,0.051737344,0.154940445,0,0,0.598350192,0
0.364005306,0.008962829,0.484337887,0,0,0.142693977,0
0.058772646,0.102824525,0.132326786,0.273311254,0,0.432764789,0
0.026316503,0.075511791,0.443835198,0.183130188,0,0.268673436,0.002532883
